time,X_value,Y_value,Z_value
0.025,-1.45512,5.07154,-14.18289
0.146,-1.49698,5.02913,-14.19461
0.264,-1.52371,4.96444,-14.20347
0.384,-1.62814,4.78441,-14.20557
0.449,-1.63941,4.5612,-14.2147
0.574,-1.65129,4.3105,-14.22589
0.624,-1.68366,4.24572,-14.22781
0.748,-1.73283,4.0327,-14.22984
0.868,-1.7803,3.85508,-14.23823
0.933,-1.74888,3.75959,-14.24815
1.049,-1.81156,3.65931,-14.26623
1.168,-1.88873,3.35316,-14.28097
1.226,-1.91507,3.20469,-14.2829
1.346,-1.95264,2.8623,-14.28662
1.467,-1.99476,2.57096,-14.30662
1.529,-2.01751,2.49086,-14.31151
1.648,-2.11949,2.21679,-14.32024
1.768,-2.19488,1.95206,-14.33279
1.828,-2.20578,1.84943,-14.34178
1.95,-2.28697,1.38647,-14.35775
2.068,-2.50271,1.16254,-14.36272
2.136,-2.48545,0.91112,-14.36547
2.262,-2.60026,0.65119,-14.38384
2.372,-2.61763,0.48,-14.42422
2.434,-2.57264,0.28945,-14.43472
2.591,-2.40814,-0.04191,-14.43617
2.673,-2.39488,-0.36665,-14.45709
2.728,-2.48648,-0.50416,-14.46969
2.854,-2.45441,-0.67962,-14.48997
2.974,-2.49599,-1.01921,-14.49724
3.029,-2.52537,-1.12346,-14.50047
3.154,-2.51532,-1.45748,-14.51971
3.273,-2.66816,-1.56497,-14.53992
3.333,-2.74335,-1.88686,-14.57711
3.447,-2.87287,-2.10409,-14.59598
3.569,-2.88963,-2.31494,-14.60854
3.639,-2.93707,-2.56736,-14.61901
3.75,-2.93704,-2.7684,-14.65517
3.868,-2.91158,-2.89108,-14.70248
3.942,-2.93497,-2.97322,-14.71119
4.056,-3.0332,-2.97469,-14.72695
4.17,-3.04992,-3.07462,-14.77796
4.231,-3.13614,-3.21097,-14.79196
4.353,-3.15513,-3.29053,-14.82557
4.479,-3.10502,-3.30861,-14.85863
4.531,-3.13515,-3.37338,-14.87989
4.65,-3.11012,-3.37017,-14.90869
4.779,-2.98187,-3.37712,-14.94065
4.834,-2.99758,-3.33907,-14.95216
4.948,-3.01934,-3.36699,-15.00935
